#      Temp.        S_avg         TChi_avg       Cv_avg 
#- --------------------------------------------------------
  1.333333e+00     1.37916420     0.13460553     0.14894003 
  7.698004e-01     1.35467837     0.14105902     0.41124360 
  4.444444e-01     1.23851176     0.14787252     0.13031256 
  2.566001e-01     1.05492182     0.15805385    -0.54926193 
  1.481481e-01     0.91050351     0.17838395    -0.66042298 
  8.553337e-02     0.78597357     0.20046951    -0.54234167 
  4.938272e-02     0.68113203     0.21354937    -0.66272101 
  2.851112e-02     0.63219489     0.21817526    -0.77629446 
  1.646091e-02     0.61674173     0.21814705    -0.81718597 
  9.503708e-03     0.61228761     0.21686426    -0.81275567 
  5.486968e-03     0.60962691     0.21543007    -0.80452238 
  3.167903e-03     0.60799078     0.21357815    -0.79353610 
  1.828989e-03     0.60677758     0.21152490    -0.77876995 
  1.055968e-03     0.60575180     0.20943641    -0.76313041 
  6.096632e-04     0.60470166     0.20715275    -0.74232580 
  3.519892e-04     0.60352249     0.20425943    -0.72067310 
  2.032211e-04     0.60201663     0.20081992    -0.69131690 
  1.173297e-04     0.60014161     0.19684403    -0.65991299 
  6.774035e-05     0.59751096     0.19223061    -0.61642804 
  3.910991e-05     0.59393170     0.18690237    -0.56910954 
  2.258012e-05     0.58870082     0.18043845    -0.50249415 
  1.303664e-05     0.58121456     0.17261090    -0.42682467 
  7.526706e-06     0.56998032     0.16302688    -0.32216295 
  4.345546e-06     0.55345618     0.15124749    -0.19593918 
  2.508902e-06     0.52855718     0.13682903    -0.03866640 
  1.448515e-06     0.49237966     0.11953937     0.14948747 
  8.363006e-07     0.44065633     0.09976054     0.32110986 
  4.828384e-07     0.37313825     0.07842628     0.47268621 
  2.787669e-07     0.29359762     0.05742427     0.51599068 
  1.609461e-07     0.21247409     0.03902113     0.48028702 
  9.292229e-08     0.14221687     0.02480413     0.37529727 
  5.364871e-08     0.08891055     0.01503775     0.25668445 
  3.097410e-08     0.05364409     0.00892350     0.16560308 
  1.788290e-08     0.03143878     0.00524829     0.09797839 
  1.032470e-08     0.01836260     0.00306370     0.05924910 
  5.960968e-09     0.01060435     0.00179903     0.03365080 
  3.441566e-09     0.00615433     0.00105344     0.02009597 
  1.986989e-09     0.00354491     0.00063362     0.01130600 
  1.147189e-09     0.00205411     0.00038793     0.00673000 
  6.623298e-10     0.00118252     0.00024786     0.00377652 
  3.823963e-10     0.00068488     0.00016590     0.00224558 
  2.207766e-10     0.00039419     0.00011920     0.00125869 
  1.274654e-10     0.00022823     0.00009187     0.00074778 
  7.359220e-11     0.00013132     0.00007631     0.00041857 
  4.248847e-11     0.00007599     0.00006720     0.00024821 
  2.453073e-11     0.00004369     0.00006201     0.00013847 
  1.416282e-11     0.00002525     0.00005897     0.00008171 
  8.176911e-12     0.00001450     0.00005724     0.00004507 
  4.720942e-12     0.00000837     0.00005622     0.00002609 
  2.725637e-12     0.00000480     0.00005562     0.00001442 
  1.573647e-12     0.00000278     0.00005525     0.00000863 
  9.085456e-13     0.00000160     0.00005504     0.00000477 
  5.245491e-13     0.00000093     0.00004123     0.00000286 
  3.028485e-13     0.00000053     0.00002747     0.00000156 
  1.748497e-13     0.00000031     0.00001374     0.00000094 
  1.009495e-13     0.00000018     0.00000002     0.00000052 
  5.828323e-14     0.00000010     0.00000001     0.00000031 
  3.364984e-14     0.00000006     0.00000001     0.00000017 
  1.942774e-14     0.00000004     0.00000001     0.00000010 
